CreatedDateTime; LastModBy; Priority; ResolvedDateTime; Task via JournalAssocTaskAssignment (0...N : 0...1).CreatedDateTime; Details; Task via JournalAssocTaskAssignment (0...N : 0...1).Subject; AssignmentID; NotesBody; IncidentLocation; LastModDateTime; Incident Number
9/11/19 11:09; Karen_Wagoner; 1; 9/11/19 11:09; 9/11/19 8:51; """DHCP... searching message"" on displays. User reports phones have been down since the power outage of 9/10"; No Phones School-wide; 108169; Reset 13 made call to front office. All services up.; North Charleston Creative Arts Elementary; 9/11/19 11:09; 182639
9/11/19 8:52; MARTIN_NIELSON; 1; 9/11/19 8:52; 9/11/19 7:06; """DHCP... searching message"" on displays. User reports phones have been down since the power outage of 9/10"; No Phones School-wide; 108091; Miles repaired the network switch that was down affecting phones.; North Charleston Creative Arts Elementary; 9/11/19 8:52; 182639
9/30/19 13:03; WILLIAM_WHITE; 1; 9/30/19 13:03; 9/30/19 8:35; Submitting ticket for a phone outage at Minnie Hughes.; Phones Down; 111995; located bad switch in MTR. Notified jason for replacement.; Minnie Hughes Elementary; 9/30/19 13:03; 189566
9/30/19 12:13; WARREN_DISBROW; 1; 9/30/19 12:13; 9/30/19 9:06; Submitting ticket for a phone outage at Minnie Hughes.; Phones Down; 112005; Replaced failed switch. Installed switch software. Configured switch for network traffic.; Minnie Hughes Elementary; 9/30/19 12:13; 189566
10/7/19 8:42; Bradley_Evans.c; 1; 10/7/19 8:42; 10/7/19 8:27; "Main office phone lines are blank and no dial tone is given. When calling the main line it rings many;  many;  times before the options menu is heard. After pressing 0 for the front office;  the line is transferred to the parent liaison line."; Deer Park - Main Office Phones are Dead; 113418; "reset switch in TR 2. everything came back up including phones;  time clock;  and door monitors"; Deer Park Middle; 10/7/19 8:42; 191853
10/7/19 8:28; MARTIN_NIELSON; 1; 10/7/19 8:28; 10/7/19 7:39; "Main office phone lines are blank and no dial tone is given. When calling the main line it rings many;  many;  times before the options menu is heard. After pressing 0 for the front office;  the line is transferred to the parent liaison line."; Deer Park - Main Office Phones are Dead; 113389; Bradley and Martin K. reset the Cisco 3750 switch in rack.   Main office came back up.; Deer Park Middle; 10/7/19 8:28; 191853
10/23/19 13:35; MILES_KEENER; 1; 10/23/19 13:35; 10/11/19 10:12; The CCSD Internet connection and CCSD Filter Authentication feature are unstable district wide. Network technicians are aware and working on this issue at this time.; The CCSD Internet connection and CCSD Filter Authentication are unstable District Wide; 114453; The filter has been stable for several days now.; C E Williams Middle; 10/23/19 13:35; 192405
10/10/19 14:37; MILES_KEENER; 1; 10/10/19 14:37; 10/10/19 9:54; The CCSD Internet connection and CCSD Filter Authentication feature are unstable district wide. Network technicians are aware and working on this issue at this time.; The CCSD Internet connection and CCSD Filter Authentication are unstable District Wide; 114228; Filter is authenticating users now; C E Williams Middle; 10/10/19 14:37; 192405
10/10/19 6:15; MILES_KEENER; 1; 10/10/19 6:15; 10/8/19 7:04; The CCSD Internet connection and CCSD Filter Authentication feature are unstable district wide. Network technicians are aware and working on this issue at this time.; The CCSD Internet connection and CCSD Filter Authentication are unstable District Wide; 113631; This was due to filter issues that have been resolved.; C E Williams Middle; 10/10/19 6:15; 192405
10/8/19 9:44; Blake_Welch.c; 1; 10/8/19 9:44; 10/8/19 9:43; Customer reports that the switchboard at Burke High is down - busy signal.; Switchboard Down - Busy Signal; 113708; Worked with Marty over the phone and restarted the VM panel. Marty tested issue resolved.; Burke High; 10/8/19 9:44; 192537
10/8/19 9:40; Tyler_Wigger; 1; 10/8/19 9:40; 10/8/19 8:37; Customer reports that the switchboard at Burke High is down - busy signal.; Switchboard Down - Busy Signal; 113670; Re-Assigning per marty; Burke High; 10/8/19 9:40; 192537
10/18/19 15:34; JOHN_RHODES; 1; 10/18/19 15:34; 10/18/19 14:58; "Various customers across the district have lost internet access 20-30 minutes ago. Help desk is able to remotely access the machine;  so it is still connected to the network. 
Locations identified thus far: 
Liberty Hill
Sanders-Clyde
Bview
Baptist Hill
James B Edwards
Mt. Zion"; Internet Access Lost for Various Users District-Wide; 115628; "Failed iBoss over;  connectivity restored."; Liberty Hill Academy; 10/18/19 15:34; 195917
10/18/19 15:34; JOHN_RHODES; 1; 10/18/19 15:34; 10/18/19 14:58; "Various customers across the district have lost internet access 20-30 minutes ago. Help desk is able to remotely access the machine;  so it is still connected to the network. 
Locations identified thus far: 
Liberty Hill
Sanders-Clyde
Bview
Baptist Hill
James B Edwards
Mt. Zion"; Internet Access Lost for Various Users District-Wide; 115629; Resolved via iBoss shutdown.; Liberty Hill Academy; 10/18/19 15:34; 195917
10/18/19 15:33; JOHN_RHODES; 1; 10/18/19 15:33; 10/18/19 14:49; "Various customers across the district have lost internet access 20-30 minutes ago. Help desk is able to remotely access the machine;  so it is still connected to the network. 
Locations this far: 
Liberty Hill
Sanders-Clyde
Bview
Baptist Hill
James B. Edwards
Mt. Zion"; Internet Access Lost for Various Users District-Wide; 115620; Resolved via iBoss shutdown.; Liberty Hill Academy; 10/18/19 15:33; 195917
1/27/20 14:43; Michael_Bryson; 1; 1/27/20 14:43; 1/27/20 9:37; "Wando No internet.

No phone service:
Charles Pinckney Elementary
Burke High
Simmons-Pinckney Middle
Wando CAS
Baptist Hill High"; "No internet at Wando;  phones being effected at several locations as well."; 127108; "Per Derek:[2:42 PM] Alfred Croucher
    AT&T resolved issue involving fiber equipment"; Wando High; 1/27/20 14:43; 216129
1/27/20 14:36; MARTIN_NIELSON; 1; 1/27/20 14:36; 1/27/20 9:38; "Wando No internet.

No phone service:
Charles Pinckney Elementary
Burke High
Simmons-Pinckney Middle
Wando CAS
Baptist Hill High"; "No internet at Wando;  phones being effected at several locations as well."; 127109; Vendor restored service to ASE circuit.; Wando High; 1/27/20 14:36; 216129
3/3/20 14:26; MARTIN_NIELSON; 1; 3/3/20 14:26; 3/3/20 7:45; "Phone lines down at Harbor View;  no inbound or outbound calls possible. AT&T has been notified. Will White has assessed situation."; Phone Lines Down; 132020; AT&T repaired the PRI circuit.   Moisture in the outside cabling to the school.; Harbor View Elementary; 3/3/20 14:26; 225029
3/3/20 12:36; WILLIAM_WHITE; 1; 3/3/20 12:36; 3/3/20 7:45; "Phone lines down at Harbor View;  no inbound or outbound calls possible. AT&T has been notified. Will White has assessed situation."; Phone Lines Down; 132019; Performed onsite visit and located no lights on AT&T circuit smart jack connecting to phone system. Performed reset of card and still no lights. AT&T technician arrived and located problem. Circuit is currently up and running. Performed several calls inbound and outbound. Phone system service and phones up and running.; Harbor View Elementary; 3/3/20 12:36; 225029
11/23/20 8:14; MILES_KEENER; 1; 11/23/20 8:14; 11/17/20 7:50; Leslie Hargrove (Public Safety Officer) reporting Phone & Internet went down at CE Williams South on Sanders Rd. School contacted Public Safety Officer via radio & reported that this was the second time that it had went down this morning.; Network Down; 158960; Server was gone through over the weekend to ensure schools connection no longer drops; C E Williams South Middle; 11/23/20 8:14; 284369
11/19/20 8:33; WILLIAM_WHITE; 1; 11/19/20 8:33; 11/19/20 7:34; Leslie Hargrove (Public Safety Officer) reporting Phone & Internet went down at CE Williams South on Sanders Rd. School contacted Public Safety Officer via radio & reported that this was the second time that it had went down this morning.; Network Down; 159413; Performed reboot of core switch. Internet is back up; C E Williams South Middle; 11/19/20 8:33; 284369
11/18/20 10:03; Joshua_Chavis.c; 1; 11/18/20 10:03; 11/18/20 8:38; Leslie Hargrove (Public Safety Officer) reporting Phone & Internet went down at CE Williams South on Sanders Rd. School contacted Public Safety Officer via radio & reported that this was the second time that it had went down this morning.; Network Down; 159217; Network appears to be up. Cienna link is up. Ports in question for people having issues were ok (No Dropped Frames). Did notice that the LAG port groups were dynamically recreating themselves due to lag expiration. Will have to look into it outside of school hours. JC 11/18/2020; C E Williams South Middle; 11/18/20 10:03; 284369
4/23/21 16:46; MILES_KEENER; 1; 4/23/21 16:46; 4/23/21 13:09; "schoolwide internet outtage outtage

looks like 8 schools are going down due to fiber cut recently.  Our Netops team is aware of this issue and the correct teams are notified already."; schoolwide internet outtage - fiber cut issue; 178505; At&t completed repairs again; Zucker (Jerry) Middle; 4/23/21 16:46; 324079
4/23/21 10:59; MILES_KEENER; 1; 4/23/21 10:59; 4/22/21 10:28; "schoolwide internet outtage outtage

looks like 8 schools are going down due to fiber cut recently.  Our Netops team is aware of this issue and the correct teams are notified already."; schoolwide internet outtage - fiber cut issue; 178252; At&t has completed fiber repair; Zucker (Jerry) Middle; 4/23/21 10:59; 324079
8/12/21 7:10; RYAN_RAESEMANN; 1; 8/12/21 7:10; 8/11/21 10:31; "***8Issue still remains***

Error: An error occurred while locating the user account LDAP server. Please specify the correct credentials to connect in the context configuration or enable anonymous binds. Support Code: SE-54-VJ. Password was just reset in a previous ticket and this is the error that just popped up. Appears to be district wide."; Enrich; 192834; This was due to CCSD-AD-S1 going offline.  Had Enrich change the server it used for LDAP.; Calhoun; 8/12/21 7:10; 344542
8/10/21 10:49; RYAN_RAESEMANN; 1; 8/10/21 10:49; 8/10/21 8:13; Error: An error occurred while locating the user account LDAP server. Please specify the correct credentials to connect in the context configuration or enable anonymous binds. Support Code: SE-54-VJ. Password was just reset in a previous ticket and this is the error that just popped up. Appears to be district wide.; Enrich; 192554; LDAP account for Enrich had the wrong information.  Corrected the issue with Enrich and LDAP authentication worked; Calhoun; 8/10/21 10:49; 344542
9/9/21 6:29; RYAN_RAESEMANN; 1; 9/9/21 6:29; 9/8/21 7:23; "When attempting to connecting to the internet getting an error saying cannot reach this site. In email and a popup comes up saying will reconnect in so so amount of seconds but will never connect. When try other sites it is saying sites cannot be reached. Went to command prompt and pinged 8.8.8.8 got a complete packet loss. Other users are having the same problem. 

Per Ryan: this circuit is back down.   Contacting AT&T to re-open existing ticket OQ091527"; Not able to connect to the internet; 201824; AT&T fiber cut repaired.  Circuit back online as of 445am; Stiles Point Elementary; 9/9/21 6:30; 359737
9/7/21 16:01; MARTIN_NIELSON; 1; 9/7/21 16:01; 9/7/21 11:23; When attempting to connecting to the internet getting an error saying cannot reach this site. In email and a popup comes up saying will reconnect in so so amount of seconds but will never connect. When try other sites it is saying sites cannot be reached. Went to command prompt and pinged 8.8.8.8 got a complete packet loss. Other users are having the same problem.; Not able to connect to the internet; 201615; AT&T repaired damaged fiber by the road leading to school.; Stiles Point Elementary; 9/7/21 16:02; 359737
11/4/21 8:14; MILES_KEENER; 1; 11/4/21 8:14; 11/3/21 13:01; "Per Miles Keener;  the network is down at all John's Island schools. AT&T is being notified."; John's Island Schools - Network Down; 214787; At&t completed fiber repair. Schools are back up.; St. John's High; 11/4/21 8:14; 379690
11/4/21 6:30; WILLIAM_WHITE; 1; 11/4/21 6:30; 11/3/21 13:21; "Per Miles Keener;  the network is down at all John's Island schools. AT&T is being notified."; John's Island Schools - Network Down; 214802; All circuit are up and operational after fiber repair; St. John's High; 11/4/21 6:30; 379690
1/14/22 12:24; RYAN_RAESEMANN; 1; 1/14/22 12:24; 1/7/22 14:19; "Caller's wifi has dropped off the network. Cponnected to reg;  ran gpupdate;  rebooted. Still can't connect to ccsd_user. CCSD_Access is not working either for many users;  and it is throwing a certificate error. 
000116008 - GMHH3D3
10.122.192.164"; Dropping Wifi; 223735; "Multiple issues;  including a CERT server that didn't want to believe that it was a certificate authority;  and a cert that didn't want to import into packetfence.  End result: its fixed.  All of it.  All fixed.  Hooray."; Academic Magnet High; 1/14/22 12:25; 392043
1/14/22 12:13; RYAN_RAESEMANN; 1; 1/14/22 12:13; 1/7/22 14:15; "Caller's wifi has dropped off the network. Cponnected to reg;  ran gpupdate;  rebooted. Still can't connect to ccsd_user. CCSD_Access is not working either for many users;  and it is throwing a certificate error. 
000116008 - GMHH3D3
10.122.192.164"; Dropping Wifi; 223734; "Multiple issues;  including a CERT server that didn't want to believe that it was a certificate authority;  and a cert that didn't want to import into packetfence.  End result: its fixed.  All of it.  All fixed.  Hooray."; Academic Magnet High; 1/14/22 12:13; 392043
1/10/22 6:35; MILES_KEENER; 1; 1/10/22 6:35; 1/6/22 13:20; "Caller's wifi has dropped off the network. Cponnected to reg;  ran gpupdate;  rebooted. Still can't connect to ccsd_user. 
000116008 - GMHH3D3
10.122.192.164"; Dropping Wifi; 223452; This was caused by a server certificate issue and has been resolved; Academic Magnet High; 1/10/22 6:36; 392043
1/7/22 14:10; NATHAN_DIAS; 1; 1/7/22 14:10; 1/7/22 14:03; "Caller's wifi has dropped off the network. Cponnected to reg;  ran gpupdate;  rebooted. Still can't connect to ccsd_user. CCSD_Access is not working either for many users;  and it is throwing a certificate error. 
000116008 - GMHH3D3
10.122.192.164"; Dropping Wifi; 223732; "Worked with Miles;  Ryan and Packetfencse support on a Marathon WebEx call to troubleshoot the expired 802.1x certificate.  

Also - the Root Certificate Authority that issued the certificate got deactivated (by Shawn?) and the Root CA got moved to RODC-S1 which is not capable of doing all CA functions we needed.

Had to migrate to anotehr srver and make it the root CA - took lots of troubleshooting and consulting online forums;  documentation;  etc.

Finally got it working."; Academic Magnet High; 1/7/22 14:11; 392043
